productid,name,fl_drupallongitude,fl_drupallatitude,statecode,fl_drupaltypeemptyspaceconventional,fl_drupaltypemanagedoffice,fl_drupaltypeservicedoffice,fl_drupalservicesfullyfurnished,new_region
d35bf41a-eeb0-e811-a83e-000d3a2b2be0,Wilhelminakade 139,4.4880622,51.9066438,0,False,False,True,False,Rotterdam
85cbec06-f2b0-e811-a83e-000d3a2b2be0,Hoogoorddreef 73a,,,1,,,,,Amsterdam Zuidoost
89dcc597-f2b0-e811-a83e-000d3a2b2be0,Transistorstraat 151,5.1762777,52.3493517,0,False,True,True,False,Almere
3e75e3f8-f2b0-e811-a83e-000d3a2b2be0,Albert Cuypstraat 218,,,1,,,,,Amsterdam
4cc71cfc-f6b0-e811-a83e-000d3a2b2be0,Prestwickweg 74,,,1,,,,,Schiphol
012f0a71-f7b0-e811-a83e-000d3a2b2be0,Hellingweg 228,4.262.429,52.095.694,1,False,False,True,False,The Hague
46afa863-e9bb-e811-a83e-000d3a2b2be0,Koivistokade 60,,,1,,,,,Amsterdam
0df95a62-f0c6-e811-a841-000d3a2b2be0,Garmischer Straße 4,11.5319166,48.133249,0,False,False,True,False,Munich
797c62c6-f0c6-e811-a841-000d3a2b2be0,Landwehrstraße 61,11.5570575,48.1361307,0,False,False,True,False,Munich
1469cd0e-18ef-e811-a845-000d3a2b2be0,Hullenbergweg 278-308,4.9517278,52.3050966,0,True,False,False,True,Amsterdam
d3513809-fff9-e811-a847-000d3a2b2be0,Hoogeveenenweg 100,,,1,,,,,Nieuwerkerk aan den IJssel
a46291ed-6354-e911-a850-000d3a2b2be0,Avenue Georges Lecointe 50,4.3517003,50.796122,0,False,False,True,False,Uccle
190487ec-6754-e911-a850-000d3a2b2be0,Chaussée d'Alsemberg 842,4.3358682,50.7964544,0,False,False,True,False,Uccle
5ab7cea3-8c54-e911-a850-000d3a2b2be0,Einsteinlaan 28,4.3468473,52.0465831,0,False,True,True,False,Rijswijk
a7d2d373-9254-e911-a850-000d3a2b2be0,Bergse Linker Rottekade 1,,,1,,,,,Rotterdam
